forecast_date,city_id,temp,humidity,wind_speed,rain_prob,description,date_extraction
2020-01-01,2,-0.1,99.0,6.9,0.0,Partly cloudy throughout the day.,2019-12-31
2020-01-02,2,0.5,96.6,10.5,0.0,Partly cloudy throughout the day.,2020-01-01
2020-01-03,2,5.1,91.3,9.5,100.0,Cloudy skies throughout the day with late afternoon rain.,2020-01-02
2020-01-04,2,6.5,85.9,29.5,100.0,Partly cloudy throughout the day with morning rain.,2020-01-03
2020-01-05,2,3.2,83.5,18.0,0.0,Partly cloudy throughout the day.,2020-01-04
2020-01-06,2,2.0,86.5,8.2,0.0,Clear conditions throughout the day.,2020-01-05
2020-01-07,2,4.5,91.7,11.8,0.0,Cloudy skies throughout the day.,2020-01-06
2020-01-08,2,6.6,88.6,7.1,0.0,Cloudy skies throughout the day.,2020-01-07
2020-01-09,2,8.5,64.4,40.6,0.0,Partly cloudy throughout the day.,2020-01-08
2020-01-10,2,9.4,74.3,35.3,100.0,Cloudy skies throughout the day with early morning rain.,2020-01-09
2020-01-11,2,6.5,79.6,21.6,0.0,Cloudy skies throughout the day.,2020-01-10
2020-01-12,2,3.6,83.6,7.1,0.0,Partly cloudy throughout the day.,2020-01-11
2020-01-13,2,4.1,83.9,22.5,0.0,Partly cloudy throughout the day.,2020-01-12
2020-01-14,2,10.4,62.9,43.4,0.0,Partly cloudy throughout the day.,2020-01-13
2020-01-15,2,11.4,63.6,43.9,0.0,Partly cloudy throughout the day.,2020-01-14
2020-01-16,2,9.7,72.5,29.4,0.0,Partly cloudy throughout the day.,2020-01-15
2020-01-17,2,9.4,77.6,34.5,100.0,Partly cloudy throughout the day with rain.,2020-01-16
2020-01-18,2,4.7,80.5,15.0,0.0,Partly cloudy throughout the day.,2020-01-17
2020-01-19,2,3.2,74.8,40.4,0.0,Clearing in the afternoon.,2020-01-18
2020-01-20,2,2.6,71.5,23.9,0.0,Partly cloudy throughout the day.,2020-01-19
2020-01-21,2,1.5,76.0,9.2,0.0,Partly cloudy throughout the day.,2020-01-20
2020-01-22,2,0.5,85.2,9.2,0.0,Partly cloudy throughout the day.,2020-01-21
2020-01-23,2,-0.9,94.6,7.3,0.0,Partly cloudy throughout the day.,2020-01-22
2020-01-24,2,1.9,92.3,7.5,0.0,Partly cloudy throughout the day.,2020-01-23
2020-01-25,2,5.8,86.3,11.2,0.0,Cloudy skies throughout the day.,2020-01-24
2020-01-26,2,8.1,85.5,19.5,100.0,Cloudy skies throughout the day with rain.,2020-01-25
2020-01-27,2,7.1,85.2,35.3,100.0,Partly cloudy throughout the day with late afternoon rain.,2020-01-26
2020-01-28,2,8.6,74.8,33.5,100.0,Cloudy skies throughout the day with rain.,2020-01-27
2020-01-29,2,7.4,82.8,17.7,100.0,Partly cloudy throughout the day with a chance of rain throughout the day.,2020-01-28
2020-01-30,2,5.6,90.4,15.5,100.0,Cloudy skies throughout the day with rain.,2020-01-29
2020-01-31,2,11.2,87.0,13.1,100.0,Cloudy skies throughout the day with rain clearing later.,2020-01-30
2020-02-01,2,10.4,88.5,30.8,100.0,Partly cloudy throughout the day with afternoon rain.,2020-01-31
2020-02-02,2,10.9,89.7,20.0,100.0,Cloudy skies throughout the day with rain.,2020-02-01
2020-02-03,2,13.3,78.7,15.2,0.0,Partly cloudy throughout the day.,2020-02-02
2020-02-04,2,8.3,71.3,48.6,100.0,Partly cloudy throughout the day with a chance of rain throughout the day.,2020-02-03
2020-02-05,2,6.6,70.0,37.1,100.0,Clearing in the afternoon with rain clearing later.,2020-02-04
2020-02-06,2,2.8,76.3,12.7,0.0,Partly cloudy throughout the day.,2020-02-05
2020-02-07,2,5.1,72.5,19.3,0.0,Partly cloudy throughout the day.,2020-02-06
2020-02-08,2,7.2,75.6,34.7,0.0,Partly cloudy throughout the day.,2020-02-07
2020-02-09,2,9.9,72.0,56.0,0.0,Partly cloudy throughout the day.,2020-02-08
2020-02-10,2,13.8,59.4,49.8,0.0,Cloudy skies throughout the day.,2020-02-09
2020-02-11,2,10.4,61.6,24.4,100.0,Cloudy skies throughout the day with rain.,2020-02-10
2020-02-12,2,6.6,66.2,10.3,100.0,Partly cloudy throughout the day with early morning rain.,2020-02-11
2020-02-13,2,6.2,72.6,53.9,100.0,Partly cloudy throughout the day with rain.,2020-02-12
2020-02-14,2,8.5,74.7,16.3,100.0,Partly cloudy throughout the day with early morning rain.,2020-02-13
2020-02-15,2,8.2,69.3,28.7,0.0,Partly cloudy throughout the day.,2020-02-14
2020-02-16,2,12.3,68.5,56.8,0.0,Partly cloudy throughout the day.,2020-02-15
2020-02-17,2,10.7,81.8,47.0,100.0,Cloudy skies throughout the day with rain.,2020-02-16
2020-02-18,2,6.5,78.2,10.3,0.0,Partly cloudy throughout the day.,2020-02-17
2020-02-19,2,6.4,80.7,11.3,100.0,Cloudy skies throughout the day with rain.,2020-02-18
2020-02-20,2,7.7,75.5,14.8,100.0,Partly cloudy throughout the day with morning rain or snow.,2020-02-19
2020-02-21,2,8.0,65.5,22.2,100.0,Partly cloudy throughout the day with early morning rain.,2020-02-20
2020-02-22,2,6.7,65.2,10.0,0.0,Partly cloudy throughout the day.,2020-02-21
2020-02-23,2,10.0,62.1,9.7,0.0,Partly cloudy throughout the day.,2020-02-22
2020-02-24,2,11.6,68.3,7.6,0.0,Clear conditions throughout the day.,2020-02-23
2020-02-25,2,8.2,77.9,20.0,100.0,Partly cloudy throughout the day with rain.,2020-02-24
2020-02-26,2,6.4,62.5,39.1,100.0,Partly cloudy throughout the day with rain.,2020-02-25
2020-02-27,2,5.2,74.0,49.3,100.0,Partly cloudy throughout the day with rain.,2020-02-26
