datetime,temp,feels_like,temp_min,temp_max,humidity,wind_speed,rain_prob,description,city_name,city_country,date_extraction
2025-07-09 18:00:00,22.47,21.82,22.47,22.6,40,3.08,0.0,clear sky,Arrondissement de Lyon,FR,2025-07-09
2025-07-09 21:00:00,20.96,20.34,17.94,20.96,47,0.85,0.0,clear sky,Arrondissement de Lyon,FR,2025-07-09
2025-07-10 00:00:00,17.44,16.86,14.93,17.44,62,1.57,0.0,clear sky,Arrondissement de Lyon,FR,2025-07-09
2025-07-10 03:00:00,12.58,11.88,12.58,12.58,76,1.27,0.0,clear sky,Arrondissement de Lyon,FR,2025-07-09
2025-07-10 06:00:00,18.03,17.53,18.03,18.03,63,0.94,0.0,clear sky,Arrondissement de Lyon,FR,2025-07-09
2025-07-10 09:00:00,21.93,21.22,21.93,21.93,40,3.11,0.0,clear sky,Arrondissement de Lyon,FR,2025-07-09
2025-07-10 12:00:00,25.36,24.76,25.36,25.36,31,3.56,0.0,clear sky,Arrondissement de Lyon,FR,2025-07-09
2025-07-10 15:00:00,26.75,26.16,26.75,26.75,27,3.66,0.0,clear sky,Arrondissement de Lyon,FR,2025-07-09
2025-07-10 18:00:00,24.12,23.53,24.12,24.12,36,2.46,0.0,clear sky,Arrondissement de Lyon,FR,2025-07-09
2025-07-09 18:00:00,25.05,24.32,25.05,25.39,27,3.06,0.0,clear sky,Arrondissement de Marseille,FR,2025-07-09
2025-07-09 21:00:00,24.43,23.87,23.2,24.43,36,3.13,0.0,clear sky,Arrondissement de Marseille,FR,2025-07-09
2025-07-10 00:00:00,21.78,21.19,20.15,21.78,45,2.03,0.0,clear sky,Arrondissement de Marseille,FR,2025-07-09
2025-07-10 03:00:00,17.93,17.11,17.93,17.93,51,2.25,0.0,clear sky,Arrondissement de Marseille,FR,2025-07-09
2025-07-10 06:00:00,21.2,20.47,21.2,21.2,42,1.47,0.0,clear sky,Arrondissement de Marseille,FR,2025-07-09
